"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2020 WF5)","2020-Nov-26 08:16 ± < 00:01","0.00135","0.00134","8.86","8.64","27.8","7.4 m -   17 m","0"
"(2020 XC)","2020-Nov-30 10:16 ±    00:01","0.00081","0.00081","4.33","3.49","29.0","4.1 m -  9.2 m","0"
"(2020 XE)","2020-Dec-01 12:23 ±    00:01","0.00199","0.00198","23.67","23.61","26.2","15 m -   34 m","1"
"(2020 XE1)","2020-Dec-03 08:23 ± < 00:01","0.00218","0.00218","9.18","9.04","26.7","12 m -   27 m","1"
"(2020 XF)","2020-Dec-03 09:00 ± < 00:01","0.00059","0.00059","4.43","3.26","26.8","11 m -   25 m","2"
"(2020 VZ6)","2020-Dec-03 10:06 ± < 00:01","0.00233","0.00233","9.00","8.88","25.0","27 m -   59 m","2"
"(2020 XK1)","2020-Dec-07 16:15 ± < 00:01","0.00014","0.00014","8.49","5.81","30.6","2.0 m -  4.5 m","1"
"(2020 XG2)","2020-Dec-07 19:15 ±    00:02","0.00033","0.00033","12.60","11.94","27.9","7.0 m -   16 m","2"
"(2020 XF4)","2020-Dec-16 11:16 ± < 00:01","0.00229","0.00229","6.81","6.63","27.6","8.1 m -   18 m","0"
"(2020 XX3)","2020-Dec-18 06:41 ± < 00:01","0.00038","0.00038","5.92","4.60","28.5","5.4 m -   12 m","1"
"(2020 YR2)","2020-Dec-19 19:35 ± < 00:01","0.00115","0.00115","7.34","7.02","28.3","5.8 m -   13 m","0"
"(2020 YS2)","2020-Dec-20 06:03 ± < 00:01","0.00058","0.00058","4.01","2.63","31.1","1.6 m -  3.6 m","0"
"(2020 YJ2)","2020-Dec-21 04:57 ± < 00:01","0.00229","0.00229","14.31","14.23","27.4","9.0 m -   20 m","0"
"(2020 YS4)","2020-Dec-28 22:27 ± < 00:01","0.00064","0.00064","7.29","6.70","27.8","7.5 m -   17 m","1"
"(2021 AA)","2021-Jan-01 13:16 ±    00:01","0.00159","0.00158","22.22","22.14","27.0","11 m -   24 m","1"
"(2021 AH)","2021-Jan-03 23:37 ± < 00:01","0.00033","0.00033","21.67","21.29","28.5","5.3 m -   12 m","1"
"(2021 AH8)","2021-Jan-04 19:22 ±    00:05","0.00035","0.00035","25.99","25.70","29.6","3.2 m -  7.2 m","1"
"(2021 AS2)","2021-Jan-09 09:38 ± < 00:01","0.00072","0.00072","24.62","24.47","29.6","3.2 m -  7.2 m","0"
"(2021 BR2)","2021-Jan-16 02:25 ± < 00:01","0.00049","0.00049","8.07","7.36","30.9","1.8 m -  4.0 m","0"
"(2021 BK)","2021-Jan-18 01:16 ± < 00:01","0.00075","0.00075","11.47","11.15","30.3","2.3 m -  5.2 m","0"
"(2021 BV1)","2021-Jan-18 01:44 ± < 00:01","0.00161","0.00160","21.63","21.55","28.0","6.6 m -   15 m","0"
"(2021 BO)","2021-Jan-18 08:09 ± < 00:01","0.00016","0.00016","7.72","5.14","33.0","0.68 m -  1.5 m","0"
"(2021 BO1)","2021-Jan-20 02:17 ± < 00:01","0.00168","0.00167","10.24","10.09","29.2","3.8 m -  8.6 m","0"
"(2018 BA3)","2021-Jan-26 02:06 ± 7_20:53","0.00250","0.00191","8.10","7.97","26.4","14 m -   31 m","1"
"(2021 CV)","2021-Feb-04 05:44 ±    00:02","0.00135","0.00134","12.69","12.54","28.9","4.4 m -  9.9 m","0"
"(2021 CZ3)","2021-Feb-09 01:50 ± < 00:01","0.00015","0.00015","11.09","9.38","31.0","1.7 m -  3.8 m","0"
"(2021 CO)","2021-Feb-11 15:22 ± < 00:01","0.00242","0.00242","11.57","11.47","25.2","24 m -   55 m","2"
"(2021 CQ5)","2021-Feb-11 22:35 ± < 00:01","0.00119","0.00119","13.42","13.25","28.6","5.1 m -   11 m","0"
"(2021 CC6)","2021-Feb-12 10:59 ± < 00:01","0.00113","0.00113","13.58","13.40","30.1","2.5 m -  5.5 m","0"
"(2021 CC7)","2021-Feb-12 20:27 ± < 00:01","0.00217","0.00217","4.28","3.99","29.7","3.0 m -  6.7 m","0"
"(2021 CA6)","2021-Feb-13 15:58 ± < 00:01","0.00111","0.00111","6.77","6.40","28.6","5.2 m -   12 m","0"
"(2021 CS6)","2021-Feb-14 12:09 ± < 00:01","0.00100","0.00100","8.28","7.95","27.8","7.3 m -   16 m","1"
"(2021 CW7)","2021-Feb-14 16:14 ± < 00:01","0.00019","0.00019","9.56","7.94","31.2","1.5 m -  3.4 m","0"
"(2021 DN1)","2021-Feb-18 03:18 ± < 00:01","0.00226","0.00225","7.48","7.32","28.1","6.3 m -   14 m","0"
"(2021 DG)","2021-Feb-18 14:21 ± < 00:01","0.00111","0.00111","13.11","12.93","30.4","2.2 m -  4.9 m","0"
"(2021 DA2)","2021-Feb-21 13:04 ± < 00:01","0.00132","0.00132","7.15","6.86","29.2","3.9 m -  8.7 m","0"
"(2021 EA)","2021-Mar-02 15:10 ± < 00:01","0.00063","0.00063","9.92","9.48","28.1","6.3 m -   14 m","1"
"(2021 EF1)","2021-Mar-08 04:46 ± < 00:01","0.00187","0.00187","12.10","11.98","29.7","3.1 m -  6.8 m","0"
"(2021 EG3)","2021-Mar-09 23:43 ± < 00:01","0.00098","0.00097","24.06","23.94","29.2","3.8 m -  8.6 m","0"
"(2021 EN4)","2021-Mar-15 03:59 ± < 00:01","0.00047","0.00047","17.29","16.96","29.7","3.1 m -  6.9 m","0"
"(2021 EP4)","2021-Mar-15 18:09 ± < 00:01","0.00248","0.00248","6.80","6.64","29.3","3.7 m -  8.4 m","0"
"(2021 EQ3)","2021-Mar-16 04:41 ± < 00:01","0.00186","0.00186","11.99","11.87","26.1","16 m -   36 m","1"
"(2021 FM2)","2021-Mar-20 21:46 ±    00:02","0.00056","0.00056","11.31","10.88","30.3","2.3 m -  5.2 m","0"
"(2021 FF2)","2021-Mar-21 12:10 ± < 00:01","0.00213","0.00213","9.62","9.49","28.1","6.3 m -   14 m","0"
"(2021 FO1)","2021-Mar-23 03:08 ± < 00:01","0.00215","0.00214","7.44","7.27","29.5","3.4 m -  7.6 m","0"
"(2021 FH)","2021-Mar-23 16:52 ± < 00:01","0.00157","0.00157","11.99","11.85","26.8","12 m -   27 m","1"
"(2021 FP2)","2021-Mar-23 22:35 ± < 00:01","0.00216","0.00216","8.97","8.83","30.1","2.5 m -  5.6 m","0"
"(2021 GE2)","2021-Apr-03 07:55 ± < 00:01","0.00161","0.00160","15.49","15.38","29.1","3.9 m -  8.8 m","0"
"(2021 GV)","2021-Apr-04 17:23 ± < 00:01","0.00224","0.00224","20.85","20.79","29.2","3.8 m -  8.6 m","0"
"(2021 GS)","2021-Apr-05 09:06 ± < 00:01","0.00167","0.00166","11.87","11.73","28.7","4.8 m -   11 m","0"
"(2021 GZ7)","2021-Apr-05 18:39 ± < 00:01","0.00126","0.00126","10.27","10.07","28.9","4.3 m -  9.6 m","0"
"(2021 GV4)","2021-Apr-08 06:48 ± < 00:01","0.00212","0.00212","6.48","6.28","29.0","4.3 m -  9.6 m","0"
"(2021 GL16)","2021-Apr-09 00:52 ± < 00:01","0.00247","0.00246","5.79","5.60","26.3","15 m -   33 m","1"
"(2021 GT3)","2021-Apr-10 21:34 ± < 00:01","0.00171","0.00170","24.42","24.35","26.4","14 m -   32 m","1"
"(2021 GE226)","2021-Apr-10 22:48 ± < 00:01","0.00220","0.00217","8.97","8.83","28.4","5.5 m -   12 m","0"
"(2021 GQ5)","2021-Apr-11 07:41 ± < 00:01","0.00248","0.00248","6.88","6.72","28.5","5.3 m -   12 m","0"
"(2021 GA168)","2021-Apr-11 21:12 ± < 00:01","0.00156","0.00156","24.40","24.33","28.9","4.5 m -   10 m","0"
"(2021 GW4)","2021-Apr-12 13:01 ± < 00:01","0.00018","0.00017","8.36","6.28","29.5","3.4 m -  7.6 m","1"
"(2021 GC13)","2021-Apr-13 02:36 ± < 00:01","0.00228","0.00228","6.95","6.78","29.1","4.0 m -  8.9 m","0"
"(2021 GC8)","2021-Apr-13 22:05 ± < 00:01","0.00146","0.00145","6.85","6.57","30.6","2.0 m -  4.5 m","0"
"(2021 GQ10)","2021-Apr-14 05:29 ± < 00:01","0.00116","0.00116","6.58","6.22","26.6","13 m -   28 m","1"
"(2021 GW16)","2021-Apr-14 21:54 ±    00:02","0.00020","0.00019","12.79","11.68","30.1","2.5 m -  5.7 m","1"
"(2021 HC1)","2021-Apr-15 04:44 ± < 00:01","0.00155","0.00154","9.31","9.12","28.0","6.8 m -   15 m","0"
"(2021 GF10)","2021-Apr-15 09:29 ± < 00:01","0.00077","0.00077","13.70","13.45","28.2","6.2 m -   14 m","1"
"(2021 GN10)","2021-Apr-15 22:31 ± < 00:01","0.00192","0.00192","12.02","11.90","28.4","5.6 m -   12 m","0"
"(2021 HE1)","2021-Apr-17 08:01 ± < 00:01","0.00153","0.00152","11.73","11.58","28.9","4.4 m -  9.7 m","0"
"(2021 HN)","2021-Apr-19 07:53 ± < 00:01","0.00170","0.00170","18.12","18.04","26.9","11 m -   25 m","1"
"(2021 HE41)","2021-Apr-23 13:03 ±    00:02","0.00251","0.00229","9.48","9.37","28.8","4.7 m -   11 m","0"
"(2021 JW)","2021-May-02 14:21 ± < 00:01","0.00173","0.00173","19.28","19.20","27.6","8.0 m -   18 m","0"
"(2021 JV)","2021-May-04 21:29 ± < 00:01","0.00094","0.00093","10.19","9.91","27.4","8.6 m -   19 m","1"
"(2021 JS1)","2021-May-06 07:38 ± < 00:01","0.00074","0.00074","22.71","22.55","28.5","5.3 m -   12 m","1"
"(2021 JQ2)","2021-May-08 10:47 ± < 00:01","0.00045","0.00045","8.67","7.95","30.0","2.6 m -  5.9 m","0"
"(2021 JB6)","2021-May-13 22:55 ± < 00:01","0.00071","0.00071","8.98","8.55","28.8","4.7 m -   10 m","0"
"(2021 JU6)","2021-May-14 15:01 ± < 00:01","0.00044","0.00044","11.60","11.07","27.1","10 m -   23 m","2"
"(2021 LV)","2021-May-27 13:20 ±    00:03","0.00188","0.00187","14.89","14.79","27.9","6.9 m -   15 m","0"
"(2022 XL)","2021-May-29 02:18 ±    03:14","0.00255","0.00144","9.69","9.58","29.3","3.7 m -  8.2 m","0"
"(2021 KO2)","2021-May-30 04:01 ± < 00:01","0.00248","0.00247","15.00","14.93","28.0","6.6 m -   15 m","0"
"(2021 KB22)","2021-May-30 20:00 ± < 00:01","0.00073","0.00072","6.69","6.12","30.0","2.7 m -  6.0 m","0"
"(2021 KN2)","2021-May-31 02:14 ± < 00:01","0.00097","0.00097","9.82","9.53","28.6","5.0 m -   11 m","0"
"(2021 KQ2)","2021-May-31 05:43 ± < 00:01","0.00119","0.00118","3.15","2.33","30.0","2.7 m -  6.1 m","0"
"(2021 KT2)","2021-Jun-01 22:44 ±    00:02","0.00195","0.00194","8.41","8.24","28.4","5.6 m -   12 m","0"
"(2021 LX1)","2021-Jun-04 04:31 ±    00:03","0.00107","0.00106","17.36","17.22","27.1","10 m -   23 m","1"
"(2021 LG5)","2021-Jun-12 22:19 ± < 00:01","0.00106","0.00106","15.83","15.67","28.7","4.8 m -   11 m","0"
"(2021 LO2)","2021-Jun-13 16:16 ± < 00:01","0.00148","0.00148","8.68","8.47","28.0","6.6 m -   15 m","0"
"(2021 MU)","2021-Jun-15 09:43 ± < 00:01","0.00111","0.00111","4.68","4.14","27.4","8.8 m -   20 m","1"
"(2021 ME)","2021-Jun-17 00:25 ± < 00:01","0.00212","0.00211","5.69","5.47","29.0","4.3 m -  9.6 m","0"
"(2021 NA)","2021-Jul-03 04:57 ± < 00:01","0.00044","0.00044","11.39","10.84","28.6","5.2 m -   12 m","1"
"(2021 NU3)","2021-Jul-08 07:19 ± < 00:01","0.00120","0.00119","12.01","11.83","28.6","5.0 m -   11 m","0"
"(2021 OV)","2021-Jul-20 14:51 ±    01:00","0.00131","0.00119","14.04","13.89","27.8","7.5 m -   17 m","1"
"(2021 OD1)","2021-Jul-31 12:16 ± < 00:01","0.00170","0.00170","7.88","7.68","28.3","5.9 m -   13 m","0"
"(2021 PC)","2021-Aug-02 12:42 ± < 00:01","0.00110","0.00110","11.82","11.61","26.7","12 m -   27 m","1"
"(2021 PL132)","2021-Aug-02 17:20 ± < 00:01","0.00233","0.00232","12.69","12.60","28.2","6.1 m -   14 m","0"
"(2021 PY4)","2021-Aug-05 10:42 ±    00:04","0.00188","0.00187","17.47","17.39","26.5","13 m -   29 m","1"
"(2021 PK4)","2021-Aug-06 20:06 ±    00:02","0.00160","0.00159","12.11","11.97","28.2","6.1 m -   14 m","0"
"(2021 PA17)","2021-Aug-14 14:11 ±    00:03","0.00045","0.00045","17.43","17.08","27.8","7.3 m -   16 m","1"
"(2021 QD1)","2021-Aug-27 20:54 ± < 00:01","0.00204","0.00204","5.74","5.51","28.7","4.8 m -   11 m","0"
"(2021 QV3)","2021-Aug-28 23:42 ± < 00:01","0.00085","0.00085","9.10","8.75","30.2","2.4 m -  5.3 m","0"
"(2021 RN5)","2021-Sep-02 07:43 ± < 00:01","0.00253","0.00252","14.15","14.07","27.6","8.1 m -   18 m","0"
"(2021 RD239)","2021-Sep-02 20:40 ±    00:18","0.00147","0.00145","9.73","9.54","28.4","5.6 m -   12 m","0"
"(2021 RT4)","2021-Sep-06 09:22 ± < 00:01","0.00177","0.00177","9.67","9.51","28.2","6.2 m -   14 m","0"
"(2021 RS100)","2021-Sep-07 06:02 ±    00:10","0.00128","0.00126","20.15","20.04","28.8","4.7 m -   11 m","0"
"(2021 RS2)","2021-Sep-08 07:28 ± < 00:01","0.00015","0.00015","17.60","16.53","30.4","2.3 m -  5.1 m","1"
"(2021 RP2)","2021-Sep-08 13:50 ± < 00:01","0.00080","0.00080","5.11","4.41","30.3","2.3 m -  5.2 m","0"
"(2021 RS5)","2021-Sep-08 15:14 ± < 00:01","0.00092","0.00092","8.01","7.64","28.4","5.7 m -   13 m","0"
"(2021 RQ2)","2021-Sep-09 00:43 ± < 00:01","0.00126","0.00125","3.82","3.22","29.5","3.3 m -  7.3 m","0"
"(2021 RB6)","2021-Sep-09 16:16 ± < 00:01","0.00172","0.00172","9.38","9.22","28.0","6.6 m -   15 m","0"
"(2021 RG6)","2021-Sep-11 15:31 ± < 00:01","0.00057","0.00057","7.41","6.75","28.9","4.4 m -  9.8 m","1"
"(2021 RG12)","2021-Sep-11 18:47 ± < 00:01","0.00217","0.00217","3.03","2.60","29.2","3.9 m -  8.7 m","0"
"(2021 RR5)","2021-Sep-12 17:44 ± < 00:01","0.00053","0.00053","8.97","8.39","28.4","5.6 m -   12 m","1"
"(2021 RF16)","2021-Sep-16 09:19 ± < 00:01","0.00213","0.00212","8.62","8.47","29.0","4.3 m -  9.6 m","0"
"(2021 SG)","2021-Sep-16 20:28 ± < 00:01","0.00164","0.00164","23.82","23.75","24.0","42 m -   94 m","3"
"(2021 SP)","2021-Sep-17 11:50 ± < 00:01","0.00009","0.00009","14.37","12.24","29.3","3.7 m -  8.3 m","2"
"(2021 SQ)","2021-Sep-20 14:53 ±    00:10","0.00184","0.00183","10.74","10.60","28.4","5.5 m -   12 m","0"
"(2021 SW1)","2021-Sep-26 21:07 ±    00:11","0.00182","0.00179","10.76","10.63","29.8","2.9 m -  6.5 m","0"
"(2021 SQ1)","2021-Sep-27 10:26 ±    00:01","0.00111","0.00111","13.40","13.22","28.8","4.6 m -   10 m","0"
"(2021 TT)","2021-Sep-30 14:17 ± < 00:01","0.00089","0.00088","15.94","15.75","27.9","6.9 m -   15 m","1"
"(2021 TX)","2021-Oct-01 21:29 ± < 00:01","0.00028","0.00028","17.72","17.18","31.2","1.5 m -  3.5 m","0"
"(2021 TV1)","2021-Oct-03 04:05 ± < 00:01","0.00108","0.00108","10.25","10.01","28.2","6.1 m -   14 m","0"
"(2021 TG1)","2021-Oct-03 21:41 ± < 00:01","0.00196","0.00195","11.01","10.89","28.2","6.1 m -   14 m","0"
"(2021 TQ4)","2021-Oct-06 11:56 ± < 00:01","0.00255","0.00255","6.23","6.06","29.9","2.7 m -  6.1 m","0"
"(2021 TT1)","2021-Oct-10 03:04 ± < 00:01","0.00251","0.00249","17.07","17.01","26.2","15 m -   34 m","1"
"(2021 TK11)","2021-Oct-11 01:21 ± < 00:01","0.00091","0.00091","10.28","10.00","28.6","5.2 m -   12 m","0"
"(2021 TT13)","2021-Oct-11 03:17 ± < 00:01","0.00036","0.00036","13.53","12.97","29.7","3.1 m -  6.8 m","0"
"(2021 TH15)","2021-Oct-11 05:59 ±    00:04","0.00211","0.00210","12.52","12.42","28.9","4.5 m - 10.0 m","0"
"(2021 TE13)","2021-Oct-12 09:59 ± < 00:01","0.00018","0.00018","10.87","9.41","29.4","3.6 m -  8.0 m","1"
"(2021 TM14)","2021-Oct-14 03:59 ± < 00:01","0.00098","0.00098","8.54","8.22","28.0","6.7 m -   15 m","1"
"(2021 UL)","2021-Oct-16 12:13 ± < 00:01","0.00024","0.00024","10.13","8.98","30.3","2.3 m -  5.2 m","0"
"(2021 TJ15)","2021-Oct-16 13:38 ± < 00:01","0.00257","0.00256","12.34","12.26","28.4","5.5 m -   12 m","0"
"(2021 TG14)","2021-Oct-18 00:51 ± < 00:01","0.00167","0.00167","11.40","11.26","28.2","6.1 m -   14 m","0"
"(2021 UT)","2021-Oct-24 10:49 ± < 00:01","0.00100","0.00100","11.22","10.98","29.3","3.7 m -  8.2 m","0"
"(2021 UO1)","2021-Oct-25 01:55 ± < 00:01","0.00102","0.00101","18.62","18.48","28.0","6.6 m -   15 m","1"
"(2021 UA1)","2021-Oct-25 03:07 ± < 00:01","0.00006","0.00006","15.84","12.89","31.8","1.1 m -  2.5 m","0"
"(2021 UA7)","2021-Oct-27 02:32 ±    00:06","0.00086","0.00085","27.77","27.66","28.8","4.7 m -   11 m","0"
"(2021 UH1)","2021-Oct-27 07:14 ± < 00:01","0.00048","0.00048","6.16","5.18","31.7","1.2 m -  2.8 m","0"
"(2021 UV5)","2021-Oct-29 01:00 ±    00:03","0.00077","0.00077","12.93","12.66","28.8","4.6 m -   10 m","0"
"(2021 UT5)","2021-Oct-29 12:50 ± < 00:01","0.00205","0.00205","12.14","12.03","28.4","5.7 m -   13 m","0"
"(2021 UF12)","2021-Oct-29 17:46 ± < 00:01","0.00161","0.00161","15.75","15.64","29.3","3.7 m -  8.2 m","0"
"(2021 UP120)","2021-Oct-29 20:09 ± < 00:01","0.00040","0.00038","13.58","13.08","32.5","0.83 m -  1.9 m","0"
"(2021 UO120)","2021-Oct-30 18:36 ± < 00:01","0.00109","0.00109","4.29","3.68","31.8","1.2 m -  2.6 m","0"
"(2021 UW1)","2021-Oct-30 20:28 ± < 00:01","0.00256","0.00255","13.82","13.74","26.2","16 m -   35 m","1"
"(2021 UJ6)","2021-Oct-31 00:36 ± < 00:01","0.00232","0.00231","17.30","17.24","28.3","6.0 m -   13 m","0"
"(2021 VH)","2021-Nov-01 10:33 ± < 00:01","0.00020","0.00020","7.70","5.66","29.6","3.1 m -  7.0 m","1"
"(2021 VK96)","2021-Nov-01 10:36 ± < 00:01","0.00245","0.00245","8.44","8.31","30.4","2.2 m -  4.9 m","0"
"(2021 VL96)","2021-Nov-04 22:55 ± < 00:01","0.00206","0.00203","13.90","13.80","30.3","2.4 m -  5.3 m","0"
"(2021 UO7)","2021-Nov-04 23:08 ± < 00:01","0.00247","0.00247","4.65","4.41","29.6","3.3 m -  7.3 m","0"
"(2021 VS11)","2021-Nov-07 09:54 ±    01:10","0.00204","0.00202","5.58","5.34","28.7","4.8 m -   11 m","0"
"(2021 VK3)","2021-Nov-07 16:55 ± < 00:01","0.00057","0.00057","14.41","14.08","30.5","2.2 m -  4.8 m","0"
"(2021 VL3)","2021-Nov-08 08:56 ± < 00:01","0.00111","0.00111","6.30","5.91","28.5","5.4 m -   12 m","0"
"(2021 VN3)","2021-Nov-08 09:56 ± < 00:01","0.00092","0.00092","9.30","8.99","30.6","2.0 m -  4.5 m","0"
"(2021 VM3)","2021-Nov-08 16:44 ± < 00:01","0.00204","0.00203","11.86","11.74","29.9","2.8 m -  6.3 m","0"
"(2021 VD8)","2021-Nov-09 13:59 ± < 00:01","0.00083","0.00083","11.98","11.71","30.4","2.2 m -  5.0 m","0"
"(2021 VP11)","2021-Nov-09 16:12 ±    00:01","0.00039","0.00036","9.74","9.00","31.8","1.2 m -  2.6 m","0"
"(2021 VM96)","2021-Nov-09 22:25 ± < 00:01","0.00168","0.00153","16.10","16.01","32.0","1.0 m -  2.3 m","0"
"(2021 VU4)","2021-Nov-10 19:48 ± < 00:01","0.00072","0.00072","16.11","15.88","28.4","5.5 m -   12 m","1"
"(2021 VY7)","2021-Nov-11 16:51 ± < 00:01","0.00214","0.00213","12.38","12.28","29.4","3.5 m -  7.9 m","0"
"(2021 VC7)","2021-Nov-12 07:49 ± < 00:01","0.00124","0.00123","18.59","18.48","28.3","5.8 m -   13 m","0"
"(2021 WP)","2021-Nov-21 14:01 ±    00:05","0.00104","0.00104","5.15","4.62","27.9","7.1 m -   16 m","1"
"(2021 WA1)","2021-Nov-26 13:45 ± < 00:01","0.00206","0.00206","13.90","13.81","27.7","7.7 m -   17 m","0"
"(2021 WC1)","2021-Nov-28 15:03 ±    00:01","0.00136","0.00136","11.70","11.53","28.5","5.3 m -   12 m","0"
"(2021 XV)","2021-Nov-30 04:16 ±    01:17","0.00099","0.00096","10.98","10.73","30.1","2.5 m -  5.7 m","0"
"(2021 WF3)","2021-Dec-01 18:36 ± < 00:01","0.00096","0.00096","11.67","11.43","29.4","3.5 m -  7.8 m","0"
"(2021 XL)","2021-Dec-01 22:44 ± < 00:01","0.00135","0.00135","10.38","10.18","28.8","4.6 m -   10 m","0"
"(2021 XF1)","2021-Dec-04 15:28 ±    00:02","0.00206","0.00205","7.82","7.65","29.5","3.3 m -  7.3 m","0"
"(2021 XC2)","2021-Dec-05 04:54 ± < 00:01","0.00212","0.00211","9.50","9.37","29.8","3.0 m -  6.6 m","0"
"(2021 XZ5)","2021-Dec-09 20:33 ±    00:04","0.00214","0.00214","7.88","7.72","28.3","5.8 m -   13 m","0"
"(2021 XU5)","2021-Dec-09 21:45 ±    00:16","0.00160","0.00153","19.24","19.15","29.4","3.5 m -  7.8 m","0"
"(2021 XV4)","2021-Dec-10 18:50 ± < 00:01","0.00120","0.00119","20.11","20.00","28.6","5.0 m -   11 m","0"
"(2021 XX4)","2021-Dec-11 15:11 ± < 00:01","0.00251","0.00250","13.51","13.44","28.6","5.1 m -   11 m","0"
"(2021 XA11)","2021-Dec-11 18:55 ± < 00:01","0.00062","0.00060","11.99","11.63","28.3","5.8 m -   13 m","1"
"(2021 XC6)","2021-Dec-16 08:10 ± < 00:01","0.00140","0.00140","10.36","10.18","28.3","5.8 m -   13 m","0"
"(2021 YK)","2022-Jan-02 16:03 ± < 00:01","0.00127","0.00127","7.04","6.74","27.4","9.0 m -   20 m","1"
"(2022 AP1)","2022-Jan-02 16:56 ± < 00:01","0.00121","0.00120","10.64","10.43","28.4","5.6 m -   12 m","0"
"(2022 AU)","2022-Jan-03 03:05 ± < 00:01","0.00213","0.00213","7.23","7.05","29.1","4.0 m -  8.9 m","0"
"(2022 AO1)","2022-Jan-03 16:19 ± < 00:01","0.00232","0.00232","14.08","14.00","29.6","3.2 m -  7.1 m","0"
"(2022 AV13)","2022-Jan-05 06:41 ±    00:07","0.00073","0.00072","7.53","7.03","31.8","1.1 m -  2.6 m","0"
"(2022 AY4)","2022-Jan-06 04:07 ±    00:02","0.00202","0.00201","17.21","17.13","29.7","3.1 m -  6.8 m","0"
"(2022 AY54)","2022-Jan-07 16:20 ± < 00:01","0.00173","0.00163","17.83","17.75","30.3","2.4 m -  5.3 m","0"
"(2022 AY5)","2022-Jan-10 10:35 ± < 00:01","0.00068","0.00068","9.17","8.74","29.2","3.8 m -  8.6 m","0"
"(2022 AC7)","2022-Jan-10 20:41 ± < 00:01","0.00103","0.00103","5.31","4.80","30.1","2.5 m -  5.6 m","0"
"(2022 AC4)","2022-Jan-11 05:19 ± < 00:01","0.00062","0.00061","8.37","7.83","29.1","4.1 m -  9.1 m","0"
"(2022 BN)","2022-Jan-23 14:14 ± < 00:01","0.00062","0.00062","15.29","15.00","28.5","5.4 m -   12 m","1"
"(2022 BT)","2022-Jan-24 06:21 ± < 00:01","0.00068","0.00068","4.75","3.83","29.8","2.9 m -  6.5 m","0"
"(2022 BA7)","2022-Jan-25 14:33 ±    00:02","0.00066","0.00066","9.70","9.27","30.9","1.8 m -  4.0 m","0"
"(2022 BD1)","2022-Jan-27 00:53 ± < 00:01","0.00124","0.00123","26.14","26.06","29.3","3.6 m -  8.1 m","0"
"(2022 BH3)","2022-Jan-27 17:22 ± < 00:01","0.00211","0.00211","12.24","12.13","26.3","14 m -   32 m","1"
"(2022 BN2)","2022-Jan-28 22:59 ± < 00:01","0.00188","0.00188","9.22","9.06","29.8","3.0 m -  6.6 m","0"
"(2022 CE)","2022-Feb-01 02:41 ± < 00:01","0.00140","0.00140","5.03","4.64","27.9","6.8 m -   15 m","0"
"(2022 CG)","2022-Feb-02 12:50 ± < 00:01","0.00231","0.00231","7.57","7.42","26.2","15 m -   34 m","1"
"(2022 CY1)","2022-Feb-02 17:31 ±    00:16","0.00183","0.00181","12.27","12.15","28.1","6.4 m -   14 m","0"
"(2022 CU4)","2022-Feb-05 08:50 ± < 00:01","0.00220","0.00219","4.71","4.45","29.3","3.6 m -  8.1 m","0"
"(2022 CB3)","2022-Feb-05 21:27 ± < 00:01","0.00056","0.00056","17.09","16.81","30.5","2.1 m -  4.7 m","0"
"(2022 CD3)","2022-Feb-08 02:59 ± < 00:01","0.00192","0.00191","11.20","11.08","28.6","5.1 m -   11 m","0"
"(2022 CJ5)","2022-Feb-10 10:52 ± < 00:01","0.00021","0.00021","11.63","10.50","30.3","2.3 m -  5.2 m","1"
"(2022 CG7)","2022-Feb-12 15:29 ±    00:01","0.00034","0.00034","15.45","14.93","28.6","5.0 m -   11 m","1"
"(2022 CL7)","2022-Feb-13 15:42 ±    00:01","0.00056","0.00056","9.98","9.49","29.7","3.1 m -  7.0 m","0"
"(2022 CF7)","2022-Feb-14 03:18 ± < 00:01","0.00213","0.00213","8.60","8.45","28.0","6.7 m -   15 m","0"
"(2022 CO6)","2022-Feb-15 08:53 ± < 00:01","0.00150","0.00150","9.34","9.15","26.1","16 m -   37 m","2"
"(2022 DY1)","2022-Feb-24 17:55 ± < 00:01","0.00149","0.00149","14.26","14.13","27.9","6.9 m -   15 m","0"
"(2022 DO3)","2022-Feb-27 05:12 ± < 00:01","0.00088","0.00088","15.03","14.82","26.9","11 m -   25 m","1"
"(2022 DY29)","2022-Feb-27 13:09 ± < 00:01","0.00196","0.00196","10.32","10.19","29.8","3.0 m -  6.6 m","0"
"(2022 DZ29)","2022-Feb-28 10:49 ± < 00:01","0.00070","0.00070","9.46","9.05","31.1","1.6 m -  3.5 m","0"
"(2022 DM4)","2022-Mar-02 03:10 ± < 00:01","0.00174","0.00173","9.10","8.93","29.2","3.8 m -  8.6 m","0"
"(2022 ET)","2022-Mar-02 13:19 ± < 00:01","0.00182","0.00182","7.32","7.12","30.2","2.4 m -  5.4 m","0"
"(2022 EQ)","2022-Mar-03 04:34 ± < 00:01","0.00097","0.00097","11.45","11.21","29.7","3.0 m -  6.8 m","0"
"(2022 EF1)","2022-Mar-04 01:40 ± < 00:01","0.00188","0.00188","10.71","10.58","29.0","4.3 m -  9.5 m","0"
"(2022 EE5)","2022-Mar-08 16:28 ± < 00:01","0.00068","0.00068","4.41","3.41","30.1","2.5 m -  5.5 m","0"
